OMBControlNumber,ICRReferenceNumber,REQUEST_TYPE_ABBR,ParentAgencyCode,ParentAgencyAcronym,ParentAgencyName,AgencyCode,AgencyAcronym,AgencyName,ICRTitle,ICTitle,CommonFormFlag,ConcludedDate,ExpirationDate,Abstract,documentType,OtherType,FormNumber,FormName,OriginalFileName,URL,AvailableElectronically,CanSubmittedElectronically,ElectronicCapability,LineOfBusiness,Subfunction,PublicCode

































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































OMBControlNumber,ICRReferenceNumber,REQUEST_TYPE_ABBR,ParentAgencyCode,ParentAgencyAcronym,ParentAgencyName,AgencyCode,AgencyAcronym,AgencyName,ICRTitle,ICTitle,CommonFormFlag,ConcludedDate,ExpirationDate,Abstract,documentType,OtherType,FormNumber,FormName,OriginalFileName,URL,AvailableElectronically,CanSubmittedElectronically,ElectronicCapability,LineOfBusiness,Subfunction,PublicCode
1103-0016,201005-1103-001,ICR Rev,1100,DOJ,Department of Justice,1103,DOJADM,General Administration,Certification of Identity,Certification of Identity,No,1/3/11,1/31/14,"This form is used to identity individuals requesting records on self or another individual under the Privacy Act, 5 U.S.C. Section 552a(i)(3) and in accordance with the provisions of 28 C.F.R., Section 16.41(d).       ",Form, ,DOJ-361,Certification of Identity,Certification of Identity_2010_VS2.pdf,DOJ.OIP.Initial.Requests@usdoj.gov,Yes,Yes,Fillable Fileable,Law Enforcement,Citizen Protection,Individuals or Households
1103-0093,200905-1103-001,ICR Ext,1100,DOJ,Department of Justice,1103,DOJADM,General Administration,COPS Extension Request Form,COPS Extension Request Form,No,7/6/09,8/31/12,"The COPS Extension Request Form will be used for in conjunction with all COPS Office grant programs.  The two-page form allows grantees to request an extension of time for a particular grant by providing the status of its hiring/project activities, describing the reason the project cannot be implemented or completed on time, and providing current financial information.  This information is used to determine whether the grantee has made adequate progress in implementing their project and has sufficient funds available for the requested extension period.  ",Form and Instruction, ,None,COPS Standard Extension Worksheet,StandardExtWorksheet2009FINAL.doc, ,No, ,Paper Only,Law Enforcement,Crime Prevention,"State, Local, and Tribal Governments"
1103-0094,201106-1103-001,ICR Ext,1100,DOJ,Department of Justice,1103,DOJADM,General Administration,Department Annual Progress Report,Department Annual Progress Report,No,7/30/11,7/31/14,The report surveys COPS hiring grantees to determine officer deployment into community policing activities.     ,Form and Instruction, ,NA,Department Annual Progress Report,DAPRUpdatedFormat1-5-08.doc,www.cops.usdoj.gov,Yes,Yes,Fillable Printable,Law Enforcement,Crime Prevention,"State, Local, and Tribal Governments"
1103-0098,201112-1103-001,ICR Rev,1100,DOJ,Department of Justice,1103,DOJADM,General Administration,COPS Application Package,COPS Application Package,No,1/30/12,1/31/15,"Under the Violent Crime and Control Act of 1994, the U.S. Department of Justice COPS Office would request grant application information from state, local and tribal law enforcement agencies in order to properly award grant funds to advance public safety through community policing.",Form and Instruction, ,None,COPS Application Package,COPS_Application_2012_FINAL.pdf, ,Yes,Yes,Fillable Printable,Law Enforcement,Crime Prevention,"State, Local, and Tribal Governments"
1103-0098,201112-1103-001,ICR Rev,1100,DOJ,Department of Justice,1103,DOJADM,General Administration,COPS Application Package,COPS Application Package,No,1/30/12,1/31/15,"Under the Violent Crime and Control Act of 1994, the U.S. Department of Justice COPS Office would request grant application information from state, local and tribal law enforcement agencies in order to properly award grant funds to advance public safety through community policing.",Instruction, , , ,Non Program-App-Guide-2012FINAL.docx, ,Yes,No,Fillable Fileable,Law Enforcement,Crime Prevention,"State, Local, and Tribal Governments"
1103-0100,201001-1103-001,ICR Rev,1100,DOJ,Department of Justice,1103,DOJADM,General Administration,COPS Office Monitoring Information Collections,28 C.F.R. Part 23 Monitoring Kit,No,3/29/10,3/31/13,COPS Office grantees that are selected for in-depth monitoring of their grant implementation and equipment grantees that report using COPS funds to implement a criminal intelligence system will be required to respond.  The Monitoring Information Collections include two types of information collections: the Monitoring Request for Documentation and the 28 C.F.R. Part 23 Monitoring Kit.  ,Form, ,None,28 C.F.R. Part 23 Monitoring Kit,28CFRMonitoringKitFINAL.doc, ,No, ,Paper Only,Law Enforcement,Crime Prevention,"State, Local, and Tribal Governments"
1103-0100,201001-1103-001,ICR Rev,1100,DOJ,Department of Justice,1103,DOJADM,General Administration,COPS Office Monitoring Information Collections,Monitoring Request for Documentation,No,3/29/10,3/31/13,COPS Office grantees that are selected for in-depth monitoring of their grant implementation and equipment grantees that report using COPS funds to implement a criminal intelligence system will be required to respond.  The Monitoring Information Collections include two types of information collections: the Monitoring Request for Documentation and the 28 C.F.R. Part 23 Monitoring Kit.  ,Form, ,None,Monitoring Request for Documentation,MonitoringRequestForDocumenationFINAL.doc, ,No, ,Paper Only,Law Enforcement,Crime Prevention,"State, Local, and Tribal Governments"
1103-0102,201012-1103-001,ICR Rev,1100,DOJ,Department of Justice,1103,DOJADM,General Administration,COPS Progress Report,COPS Progress Report,No,6/6/11,6/30/14,"Under the Violent Crime and Control Act of 1994, the U.S. Department of Justice COPS Office requires programmatic progress reports from active COPS grantees in order to monitor each program, project or activity funded by the COPS Office.",Form and Instruction, ,None,COPS Hiring Recovery Program (CHRP) Progress Report,CHRPProgressReport7-29-09.doc, ,Yes,Yes,Fillable Printable,Law Enforcement,Crime Prevention,"State, Local, and Tribal Governments"
1103-0102,201012-1103-001,ICR Rev,1100,DOJ,Department of Justice,1103,DOJADM,General Administration,COPS Progress Report,COPS Progress Report,No,6/6/11,6/30/14,"Under the Violent Crime and Control Act of 1994, the U.S. Department of Justice COPS Office requires programmatic progress reports from active COPS grantees in order to monitor each program, project or activity funded by the COPS Office.",Form and Instruction, ,None,FY2011 Hiring Questions,Full Version - New CHP CP Progress Reports Questions MASTER.docx, ,Yes,Yes,Fillable Printable,Law Enforcement,Crime Prevention,"State, Local, and Tribal Governments"
1103-0102,201012-1103-001,ICR Rev,1100,DOJ,Department of Justice,1103,DOJADM,General Administration,COPS Progress Report,COPS Progress Report,No,6/6/11,6/30/14,"Under the Violent Crime and Control Act of 1994, the U.S. Department of Justice COPS Office requires programmatic progress reports from active COPS grantees in order to monitor each program, project or activity funded by the COPS Office.",Form and Instruction, ,None,Hiring and Non-Hiring Progress Report (FY2010 and previous),Hiring_Non-Hiring_Active Progress Report_0729-10FINAL3.docx, ,Yes,Yes,Fillable Printable,Law Enforcement,Crime Prevention,"State, Local, and Tribal Governments"
1103-0105,201108-1103-001,ICR Chg,1100,DOJ,Department of Justice,1103,DOJADM,General Administration,Community Policing Self-Assessment Tool (CP-SAT),Community Policing Self-Assessment Tool (CP-SAT),No,10/25/11,7/31/14,"Under the Violent Crime and Control Act of 1994, the U.S. Department of Justice COPS Office would require the completion of the Community Policing Self-Assessment Tool from law enforcement agencies in order to improve the practice of community policing throughout the United States. ",Form and Instruction, ,None,CP-SAT Civilian,CP-SAT_Civilian_draft 7-17-08(1).doc,Not available yet,Yes,Yes,Fillable Printable,Law Enforcement,Crime Prevention,"State, Local, and Tribal Governments"
1103-0105,201108-1103-001,ICR Chg,1100,DOJ,Department of Justice,1103,DOJADM,General Administration,Community Policing Self-Assessment Tool (CP-SAT),Community Policing Self-Assessment Tool (CP-SAT),No,10/25/11,7/31/14,"Under the Violent Crime and Control Act of 1994, the U.S. Department of Justice COPS Office would require the completion of the Community Policing Self-Assessment Tool from law enforcement agencies in order to improve the practice of community policing throughout the United States. ",Form and Instruction, ,None,CP-SAT Command,SACP_Command_final(1).doc,Not available yet,Yes,Yes,Fillable Fileable,Law Enforcement,Crime Prevention,"State, Local, and Tribal Governments"
1103-0105,201108-1103-001,ICR Chg,1100,DOJ,Department of Justice,1103,DOJADM,General Administration,Community Policing Self-Assessment Tool (CP-SAT),Community Policing Self-Assessment Tool (CP-SAT),No,10/25/11,7/31/14,"Under the Violent Crime and Control Act of 1994, the U.S. Department of Justice COPS Office would require the completion of the Community Policing Self-Assessment Tool from law enforcement agencies in order to improve the practice of community policing throughout the United States. ",Form and Instruction, ,None,CP-SAT Community Partner,SACP_Community Partner_draft_Revisions 5 01 08(1).doc,Not available yet,Yes,Yes,Fillable Printable,Law Enforcement,Crime Prevention,"State, Local, and Tribal Governments"
