OMBControlNumber,ICRReferenceNumber,REQUEST_TYPE_ABBR,ParentAgencyCode,ParentAgencyAcronym,ParentAgencyName,AgencyCode,AgencyAcronym,AgencyName,ICTitle,CommonFormFlag,ConcludedDate,ExpirationDate,documentType,OtherType,FormNumber,FormName,OriginalFileName,URL,AvailableElectronically,CanSubmittedElectronically,ElectronicCapability,LineOfBusiness,Subfunction,PublicCode
1615-0044,201009-1615-002,ICR Chg,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Application for Action on an Approved Application,No,9/29/10,8/31/12,Form, ,Form I-824,Application for Action on an Approved Application,I-824 Form FR2010.pdf, ,Yes,No,Fillable Printable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0044,201009-1615-002,ICR Chg,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Application for Action on an Approved Application,No,9/29/10,8/31/12,Instruction, , , ,I-824 Inst FR2010.pdf, ,Yes,No,Printable Only,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0045,201103-1615-005,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Petition by Entrepreneur to Remove Conditions,No,7/30/11,8/31/12,Form, ,I-829,Petition by Entrepreneur to Remove Conditions,I-829 Form 06212011.pdf, ,Yes,No,Fillable Printable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0045,201103-1615-005,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Petition by Entrepreneur to Remove Conditions,No,7/30/11,8/31/12,Instruction, , , ,i-829instr (06-21-11).pdf, ,Yes,No,Printable Only,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0046,201001-1615-003,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Interagency Alien Witness and Informant Record,No,5/13/10,5/31/13,Form, ,I-854,Interagency alien witness and Informant Record,I-854 form.pdf, ,Yes,No,Fillable Printable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0046,201001-1615-003,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Interagency Alien Witness and Informant Record,No,5/13/10,5/31/13,Instruction, , , ,I-854Inst.pdf, ,Yes,No,Printable Only,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0047,200904-1615-012,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Employment Eligibility Verification,No,8/7/09,8/31/12,Form and Instruction, ,Form I-9,Employment Eligibility Verification,I-9_IFR_04-15-09.pdf, ,Yes,Yes,Fillable Fileable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0048,201107-1615-004,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Request for Premium Processing Service,No,10/19/11,10/31/14,Form, ,I-907,Request for Premium Processing Service,i-907.pdf,www.uscis.gov,Yes,Yes,Fillable Fileable,Homeland Security,Border and Transportation Security,Private Sector
1615-0048,201107-1615-004,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Request for Premium Processing Service,No,10/19/11,10/31/14,Instruction, , , ,i-907instr.pdf, ,Yes,No,Printable Only,Homeland Security,Border and Transportation Security,Private Sector
1615-0049,200902-1615-005,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Request for Crification of Naturalization,No,4/29/09,8/31/12,Form and Instruction, ,N-25,Request for Crification of Naturalization,N-25_ 11-30-05 v2.pdf, ,Yes,No,Fillable Printable,Homeland Security,Border and Transportation Security,"State, Local, and Tribal Governments"
1615-0050,201106-1615-005,ICR Chg,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Request for Hearing on a Decision in Naturalization Proceedings Under Section 336,No,9/5/11,8/31/12,Form, ,N-336,Request for Hearing on a Decision in Naturalization Proceedings Under Section 336,N-336 Form 83C 6-7-11.pdf, ,Yes,No,Fillable Printable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0050,201106-1615-005,ICR Chg,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Request for Hearing on a Decision in Naturalization Proceedings Under Section 336,No,9/5/11,8/31/12,Instruction, , , ,N-336 Instructions 83C 6-7-11.pdf, ,Yes,No,Printable Only,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0051,200908-1615-001,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Monthly Report Naturalization Papers,No,11/9/09,11/30/12,Form and Instruction, ,N-4,Monthly Report Naturalization Papers,N-4-Rev10-16-08.pdf, ,Yes,No,Fillable Printable,Homeland Security,Border and Transportation Security,Federal Government
1615-0052,201111-1615-002,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Application for Naturalization,No,3/22/12,3/31/13,Form, ,N-400,Application for Naturalization,N400-FRM-OMBexten-03072012.pdf, ,Yes,No,Fillable Printable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0052,201111-1615-002,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Application for Naturalization,No,3/22/12,3/31/13,Instruction, , , ,N400-INS-OMBexten-03072012.pdf, ,Yes,No,Printable Only,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0053,201108-1615-006,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Request for Certification of Military or Naval Service,No,2/9/12,2/28/13,Form, ,N-426,Request for Certification of Military or Naval Service,N-426 Form 8-1-11.pdf, ,Yes,No,Fillable Printable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0053,201108-1615-006,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Request for Certification of Military or Naval Service,No,2/9/12,2/28/13,Form, ,N-426,Request for Certification of Military or Naval Service,N-426_Form_8-1-11.pdf, ,Yes,No,Fillable Printable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0053,201108-1615-006,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Request for Certification of Military or Naval Service,No,2/9/12,2/28/13,Instruction, , , ,N-426 Instr 8-1-11.pdf, ,Yes,No,Printable Only,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0053,201108-1615-006,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Request for Certification of Military or Naval Service,No,2/9/12,2/28/13,Instruction, , , ,N-426_Instr_8-1-11.pdf, ,Yes,No,Printable Only,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0054,200912-1615-003,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Notice of Naturalization Oath Ceremony,No,2/25/10,2/28/13,Form and Instruction, ,Form N-445,Notice of Naturalization Oath Ceremony,N-445 form and instr.pdf, ,Yes,No,Fillable Printable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0056,201011-1615-008,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Application to Preserve Residence for Naturalization,No,1/31/11,8/31/12,Form, ,N-470,Application to Preserve Residence for Naturalization,N-470 Form FR 2010.pdf, ,Yes,No,Fillable Printable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0056,201011-1615-008,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Application to Preserve Residence for Naturalization,No,1/31/11,8/31/12,Instruction, , , ,N-470 Inst FR 2010.pdf, ,Yes,No,Printable Only,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0057,201104-1615-015,ICR Chg,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Application for Certificate of Citizenship,No,6/17/11,8/31/12,Form, ,N-600,Application for Certificate of Citizenship,N-600 Form Address Chg 4-13-11.pdf, ,Yes,No,Fillable Printable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0057,201104-1615-015,ICR Chg,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Application for Certificate of Citizenship,No,6/17/11,8/31/12,Instruction, , , ,N-600 Instructions Address Chg 04-19-11.pdf, ,Yes,No,Printable Only,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0059,201107-1615-008,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Application for Posthumous Citizenship,No,9/15/11,9/30/12,Form, ,N-644,Application for Posthumous Citizenship,N-644 Form.pdf, ,Yes,No,Fillable Printable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0059,201107-1615-008,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Application for Posthumous Citizenship,No,9/15/11,9/30/12,Instruction, , , ,N-644 Instructions.pdf, ,Yes,No,Printable Only,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0060,201104-1615-006,ICR Chg,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Medical Certification for Disability Exceptions,No,6/17/11,9/30/12,Form, ,N-648,Medical Certification for Disability Exceptions,n-648form 04132011.pdf, ,Yes,No,Fillable Printable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0060,201104-1615-006,ICR Chg,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Medical Certification for Disability Exceptions,No,6/17/11,9/30/12,Instruction, , , ,n-648instr 04132011.pdf, ,Yes,No,Printable Only,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0061,201009-1615-021,ICR Rev,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Application for Regional Center Under the Immigrant Investor Pilot Program,No,9/29/10,9/30/12,Form, ,Form I-924,Application for Regional Center Under the Immigrant Investor Pilot Program,I-924 form 080410.pdf, ,Yes,No,Fillable Printable,Economic Development,Business and Industry Development,Individuals or Households
1615-0061,201009-1615-021,ICR Rev,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Application for Regional Center Under the Immigrant Investor Pilot Program,No,9/29/10,9/30/12,Form, ,Form I-924A,Supplement to Form I-924,I-924A form 080410.pdf, ,Yes,No,Fillable Printable,Economic Development,Business and Industry Development,Individuals or Households
1615-0061,201009-1615-021,ICR Rev,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Application for Regional Center Under the Immigrant Investor Pilot Program,No,9/29/10,9/30/12,Instruction, , , ,I-924A  inst 080410.pdf, ,Yes,No,Printable Only,Economic Development,Business and Industry Development,Individuals or Households
1615-0061,201009-1615-021,ICR Rev,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Application for Regional Center Under the Immigrant Investor Pilot Program,No,9/29/10,9/30/12,Instruction, , , ,I-924 ins 080410.pdf, ,Yes,No,Printable Only,Economic Development,Business and Industry Development,Individuals or Households
1615-0063,201107-1615-001,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,National Interest Waivers; Supplemental Evidence to I-140 and I-485,No,9/11/11,9/30/12,Other,Letter Requesting Evidence, , ,Letter Requesting Evidence - NIW Physician-03-05-2007.doc, ,No, ,Paper Only,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0064,201012-1615-002,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Special Immigrant Visas for Fourth Preference Employment-Based Broadcasters,No,2/28/11,8/31/12,Other,Fact Sheet, , ,Fact Sheet.doc,http://www.uscis.gov/portal/site/uscis/menuitem.eb1d4c2a3e5b9ac89243c6a7543f6d1a/?vgnextoid=724b83453d4a3210VgnVCM100000b92ca60aRCRD&vgnextchannel=724b83453d4a3210VgnVCM100000b92ca60aRCRD,Yes,No,Printable Only,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0067,201103-1615-004,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Application for Asylum and for Withholding of Removal,No,5/25/11,8/31/12,Form, ,Form I-589,Application for Asylum and for Withholding of Removal,Form I-589.pdf, ,Yes,No,Fillable Printable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0067,201103-1615-004,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Application for Asylum and for Withholding of Removal,No,5/25/11,8/31/12,Instruction, , , ,Form I-589 Instructions.pdf, ,Yes,No,Printable Only,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0068,201103-1615-006,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Registration for Classification as a Refugee,No,6/8/11,8/31/12,Form and Instruction, ,I-590,Registration for Classification as a Refugee,Form I-590 Rev 6-3-11 .pdf, ,No, ,Fillable Printable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0069,201111-1615-007,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Application by Refugee for Waiver of Grounds of Excludability,No,4/29/12,4/30/14,Form, ,Form I-602,Application by Refugee for Waiver of Grounds of Excludability,Form I-602.pdf, ,Yes,No,Fillable Printable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0070,201008-1615-001,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Health amd Human Services Statistical Data for Refugee/Asylee Adjusting Status,No,10/8/10,10/31/12,Form and Instruction, ,I-643,Health and Human Services Statistical Data for Refugee/Asylee Adjusting Status,i-643form&instr.pdf, ,Yes,No,Fillable Printable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0072,201103-1615-009,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Application for Suspension of Deportation or Special Rule Cancellation of Removal (Pursuant to Sec. 203 of Pub. L. 105-100),No,7/8/11,8/31/12,Form, ,I-881,Application for Suspension of Deportation or Special Rule Cancellation of Removal,i-881form.pdf, ,Yes,No,Fillable Printable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0072,201103-1615-009,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Application for Suspension of Deportation or Special Rule Cancellation of Removal (Pursuant to Sec. 203 of Pub. L. 105-100),No,7/8/11,8/31/12,Form, ,I-881,"Application for Suspension of Deportation or Special Rule Cancellation of Removal (Pursuant to Section 203 of Public Law 105-100, NACARA)",I-881 Form FR2010.pdf, ,Yes,No,Fillable Printable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0072,201103-1615-009,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Application for Suspension of Deportation or Special Rule Cancellation of Removal (Pursuant to Sec. 203 of Pub. L. 105-100),No,7/8/11,8/31/12,Instruction, , , ,i-881instr.pdf, ,Yes,No,Printable Only,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0072,201103-1615-009,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Application for Suspension of Deportation or Special Rule Cancellation of Removal (Pursuant to Sec. 203 of Pub. L. 105-100),No,7/8/11,8/31/12,Instruction, , , ,I-881 Inst FR2010.pdf, ,Yes,No,Printable Only,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0075,201107-1615-009,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Affidvit of Support Under Section 213A of the Act,No,9/19/11,9/30/12,Form, ,I-864,Affidavit of Support Under Section 213A of the Act,I-864 form.pdf, ,Yes,No,Fillable Printable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0075,201107-1615-009,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Affidvit of Support Under Section 213A of the Act,No,9/19/11,9/30/12,Form, ,I-864A ,Contract Between Sponsor and Household Member,I-864A form.pdf, ,Yes,No,Fillable Printable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0075,201107-1615-009,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Affidvit of Support Under Section 213A of the Act,No,9/19/11,9/30/12,Form and Instruction, ,I-864EZ,Affidavit of Support Under Section 213A of the Act,I-864 EZ form and instr.pdf, ,Yes,No,Fillable Printable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0075,201107-1615-009,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Affidvit of Support Under Section 213A of the Act,No,9/19/11,9/30/12,Form and Instruction, ,I-864W,Intending Immigrant's Affidavit of Support Exemption,I-864 W form & instr.pdf, ,Yes,No,Fillable Printable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0075,201107-1615-009,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Affidvit of Support Under Section 213A of the Act,No,9/19/11,9/30/12,Other,Poverty Guidelines, , ,I-864 P.pdf, ,Yes,No,Printable Only,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0075,201107-1615-009,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Affidvit of Support Under Section 213A of the Act,No,9/19/11,9/30/12,Instruction, , , ,I-864A instr.pdf, ,Yes,No,Printable Only,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0075,201107-1615-009,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Affidvit of Support Under Section 213A of the Act,No,9/19/11,9/30/12,Instruction, , , ,I-864 instr.pdf, ,Yes,No,Printable Only,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0076,201009-1615-016,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Sponsor's Notice of Change of Address,No,10/26/10,10/31/12,Form and Instruction, ,I-865,Sponsor¿s Notice of Change of Address,i-865 form&instr.pdf, ,Yes,No,Fillable Printable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0077,201003-1615-002,ICR Chg,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,www.uscis.gov Information Gathering Project,No,3/17/10,8/31/12,Other,survey, , ,Card Sorting Exercise topics.doc, ,Yes,Yes,Fillable Fileable,Homeland Security,Key Asset and Critical Infrastructure Protection,Private Sector
1615-0077,201003-1615-002,ICR Chg,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,www.uscis.gov Information Gathering Project,No,3/17/10,8/31/12,Other,survey, , ,"M-740, focus group questionaire.pdf", ,No, ,Paper Only,Homeland Security,Key Asset and Critical Infrastructure Protection,Private Sector
1615-0077,201003-1615-002,ICR Chg,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,www.uscis.gov Information Gathering Project,No,3/17/10,8/31/12,Other,survey, , ,usability test-scenarios simplified.doc, ,Yes,Yes,Fillable Fileable,Homeland Security,Key Asset and Critical Infrastructure Protection,Private Sector
1615-0077,201003-1615-002,ICR Chg,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,www.uscis.gov Information Gathering Project,No,3/17/10,8/31/12,Other,Survey, , ,USCIS Internal Policy Review Stakeholder Survey FINAL 2 25 2010.doc,www.uscis.gov,Yes,Yes,Fillable Fileable,Homeland Security,Key Asset and Critical Infrastructure Protection,Private Sector
1615-0078,201106-1615-008,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Application to File Declaration of Intention,No,9/16/11,9/30/12,Form, ,N-300,Application to File Declaration of Intention,n-300.pdf, ,Yes,No,Fillable Printable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0078,201106-1615-008,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Application to File Declaration of Intention,No,9/16/11,9/30/12,Instruction, , , ,n-300instr.pdf, ,Yes,No,Printable Only,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0079,201008-1615-046,ICR Chg,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Application for Replacement/Initial Nonimmigrant Arrival-Departure Document,No,9/29/10,8/31/12,Form, ,Form I-102,Application for Replacement/Initial Nonimmigrant Arrival-Departure Document,I-102 Form_FR2010.pdf, ,Yes,No,Fillable Printable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0079,201008-1615-046,ICR Chg,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Application for Replacement/Initial Nonimmigrant Arrival-Departure Document,No,9/29/10,8/31/12,Instruction, , , ,I-102 Instr_FR2010.pdf, ,Yes,No,Printable Only,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0080,200907-1615-006,ICR Chg,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,USCIS Case Status Online,No,9/9/09,8/31/12,Form, ,OMB-33,USCIS Case Status Online,Case Status Online Screenshots 7-22-09.doc,www.uscis.gov,Yes,Yes,Fillable Fileable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0081,200908-1615-009,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Application Requirements for the Adjustment of Status Under Section 586 of Public Law 106-249,No,2/3/10,2/28/13,Instruction, , , ,Indochinese.doc, ,Yes,No,Printable Only,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0081,200908-1615-009,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Application Requirements for the Adjustment of Status Under Section 586 of Public Law 106-249,No,2/3/10,2/28/13,Instruction, , , ,Indochinese 2.doc, ,Yes,No,Printable Only,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0081,200908-1615-009,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Application Requirements for the Adjustment of Status Under Section 586 of Public Law 106-249,No,2/3/10,2/28/13,Instruction, , , ,Contact Us.doc, ,Yes,No,Printable Only,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0082,201008-1615-003,ICR Chg,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Application to Replace Permanent Resident Card,No,9/29/10,8/31/12,Form, ,Form I-90,Application to Replace Permanent Resident Card,I-90 Form FR2010.pdf, ,Yes,Yes,Fillable Fileable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0082,201008-1615-003,ICR Chg,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Application to Replace Permanent Resident Card,No,9/29/10,8/31/12,Instruction, , , ,I-90 Inst FR2010.pdf, ,Yes,No,Printable Only,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0086,201107-1615-003,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Application for Authorization to Issue Certification for Health Care Workers and Related Requirements,No,10/30/11,10/31/12,Form, ,I-905,Application for Authorization to Issue Certification for Health Care Workers and Related Requirements,i-905.pdf, ,Yes,No,Fillable Printable,Homeland Security,Border and Transportation Security,Private Sector
1615-0086,201107-1615-003,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Application for Authorization to Issue Certification for Health Care Workers and Related Requirements,No,10/30/11,10/31/12,Instruction, , , ,I-905instr (Web_08-26-11).pdf, ,Yes,No,Printable Only,Homeland Security,Border and Transportation Security,Private Sector
1615-0087,201109-1615-004,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Application for Citizenship and Issuance of Certificate Under Section 322,No,2/5/12,2/28/13,Form, ,N-600K,Application for Citizenship and Issuance of Certificate Under Section 322,N-600K.pdf, ,Yes,No,Fillable Printable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0087,201109-1615-004,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Application for Citizenship and Issuance of Certificate Under Section 322,No,2/5/12,2/28/13,Instruction, , , ,N-600K Instr.pdf, ,Yes,No,Printable Only,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0089,200908-1615-010,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Request for Fee Waiver Denial Letter,No,12/30/09,12/31/12,Form and Instruction, ,G-1054,Request for Fee Waiver Denial Letter,Form and Instruction.pdf, ,Yes,No,Fillable Printable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0090,201007-1615-006,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Application for Status as a Temporary Resident Under Section 245A of the Immigration and Nationality Act;,No,9/29/10,9/30/12,Form, ,I-687,Application for Status as a Temporary Resident Under Section 245A of the Immigration and Nationality Act;,I-687 Form FR2010.pdf, ,Yes,No,Fillable Printable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0090,201007-1615-006,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Application for Status as a Temporary Resident Under Section 245A of the Immigration and Nationality Act;,No,9/29/10,9/30/12,Form, ,I-687,Northwest Immigrant Rights Project (NWIRP) Class Member Worksheet,i-687worksheet.pdf, ,Yes,Yes,Fillable Printable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0090,201007-1615-006,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Application for Status as a Temporary Resident Under Section 245A of the Immigration and Nationality Act;,No,9/29/10,9/30/12,Instruction, , , ,I-687 Inst FR2010.pdf, ,Yes,No,Printable Only,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0091,201103-1615-008,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Application for Replacement Naturalization/Citizenship Document,No,7/8/11,8/31/12,Form, ,N-565,Application for Replacement Naturalization/Citizenship Document,N-565 Form 6-9-11.pdf, ,Yes,No,Fillable Printable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0091,201103-1615-008,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Application for Replacement Naturalization/Citizenship Document,No,7/8/11,8/31/12,Form, ,N-565,Application for Replacement Naturalization/Citizenship Document,N-565 Form FR 2010.pdf, ,Yes,No,Fillable Printable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0091,201103-1615-008,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Application for Replacement Naturalization/Citizenship Document,No,7/8/11,8/31/12,Instruction, , , ,N-565 Instructions 6-9-11.pdf, ,Yes,No,Printable Only,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0091,201103-1615-008,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Application for Replacement Naturalization/Citizenship Document,No,7/8/11,8/31/12,Instruction, , , ,N-565 Inst FR 2010.pdf, ,Yes,No,Printable Only,Homeland Security,Border and Transportation Security,Individuals or Households
